Week,Score
2022-07-03,64
2022-07-10,73
2022-07-17,74
2022-07-24,68
2022-07-31,71
2022-08-07,78
2022-08-14,72
2022-08-21,72
2022-08-28,69
2022-09-04,68
2022-09-11,79
2022-09-18,82
2022-09-25,100
2022-10-02,83
2022-10-09,84
2022-10-16,75
2022-10-23,76
2022-10-30,66
2022-11-06,64
2022-11-13,60
2022-11-20,46
2022-11-27,51
2022-12-04,47
2022-12-11,58
2022-12-18,59
2022-12-25,62
2023-01-01,61
2023-01-08,62
2023-01-15,62
2023-01-22,67
2023-01-29,77
2023-02-05,68
2023-02-12,73
2023-02-19,70
2023-02-26,62
2023-03-05,73
2023-03-12,59
2023-03-19,70
2023-03-26,68
2023-04-02,66
2023-04-09,74
2023-04-16,67
2023-04-23,56
2023-04-30,67
2023-05-07,65
2023-05-14,68
2023-05-21,64
2023-05-28,71
2023-06-04,72
2023-06-11,71
2023-06-18,69
2023-06-25,77
